"PlotID","ID","Plot","Block","Row","Range","Weight","Height","Maturity","Yield","TuberSet","Red","Green","Blue","NGRDI","BGI","GLI","VARI","myIndex.1","myIndex.2"
"100",16,100,2,13,8,5.91,16.5,4,504.0712696,8.6,40.7523109046547,59.3174854542042,32.7812030780781,0.191518586649754,0.552896454349529,0.238093669934015,0.284008141773893,-0.840016634135486,3.6495441708868
"101",17,101,2,12,8,3.59,25.5,4,573.1183789,15,45.9736503136201,66.2167338709677,35.2956709229391,0.183434974551704,0.534998899159598,0.240584786307896,0.266852317816871,-0.746083830487004,3.77295753572642
"102",18,102,2,11,8,5.96,30.5,5,422.3173565,7.333333333,44.4965108235677,67.2682902018229,35.0249532063802,0.207070806874565,0.522540765621889,0.258564899366285,0.300331341660201,-0.762033206711545,3.87405099868897
"103",19,103,2,10,8,4.11,16.5,5,461.1272422,10.71428571,43.4163793875358,62.6397743553009,35.531932754298,0.188596029861433,0.566772403429476,0.231027641570801,0.283534385637068,-0.887563640138514,3.55345850406029
"104",20,104,2,9,8,3.1,30.5,5,577.3120435,16.07142857,48.5409505208333,68.9231770833333,36.293359375,0.182428079866934,0.524953595838343,0.244242927698988,0.261957332234776,-0.701496656253289,3.86270801382137
"105",21,105,2,8,8,4.01,29.5,5,418.4330311,10.14285714,44.8907211538462,64.4618269230769,36.5006610576923,0.189303309141398,0.564933802313461,0.232369349973942,0.283293821615106,-0.880504441276151,3.57469317499159
"106",22,106,2,7,8,2.845,32.5,6,497.0980621,15.71428571,48.7876733054577,69.6868397887324,38.1150555677817,0.183018488934243,0.545550956191539,0.236235179799068,0.268778847847845,-0.786888379700991,3.69576617870009
"107",23,107,2,6,8,3.16,22,5,495.5802261,14.26666667,43.7074795081967,63.2130763319672,35.3427254098361,0.190837997888971,0.558129129222472,0.235743098877025,0.284141444006093,-0.85986558638279,3.61286609708074
"108",24,108,2,5,8,4.99,26.5,4,569.2020373,10.92857143,48.7490026595745,71.9523413753799,38.4240121580547,0.199906516802031,0.532917133114819,0.250684322433784,0.291433848716472,-0.784075551818769,3.79862873968945
"109",25,109,2,4,8,3.31,23,5,341.8386783,10.33333333,59.6678479381443,78.4361106636598,42.5323775773196,0.146911731241357,0.53752504889595,0.219929242186274,0.209316010721298,-0.647985885358495,3.78110175836863
"110",26,110,2,3,8,3.61,27.5,4,376.5225391,10.4,50.4462858606557,70.2036757172131,40.7174692622951,0.169969712369924,0.579049470523296,0.216701551926649,0.255488849549226,-0.8852858086601,3.48278249694407
"111",27,111,2,2,8,3.155,16.5,4,636.405287,19.53333333,41.4243219675399,64.8390340261959,35.8452359766515,0.226605960937334,0.551503030569757,0.257167705446156,0.341815033642431,-0.935612335705576,3.64893684546274
"112",28,112,2,1,8,4.05,26.5,3,381.7118609,9.133333333,47.9632789317507,70.1463047106825,35.7157015022255,0.191687299244169,0.510589224845041,0.254822705148489,0.273448056460179,-0.672474789922986,3.96153093331936
"113",14,113,2,1,9,5.78,19.5,5,490.3530261,8.266666667,46.3953655946602,65.0361170105178,37.4961948826861,0.175995645007913,0.573888148704395,0.221694304233434,0.264562230499211,-0.882186701295049,3.5086266607611
"114",13,114,2,2,9,3.72,25,3,429.7288696,11.26666667,46.6898967551622,65.5164431231563,38.3009310471976,0.178015504153232,0.581864569593864,0.219942997065749,0.269166423732348,-0.918093776272787,3.46543646714369
"115",12,115,2,3,9,4.2,25.5,6,527.8398783,12.46666667,47.3578600761218,70.4348582732372,37.9674604366987,0.204004982162639,0.538015806223095,0.250815199553171,0.299484326467648,-0.814709375483393,3.76144018624723
"116",11,116,2,4,9,4.245,24,5,606.0048261,14.35714286,47.0187427212733,68.9934976708075,36.6610903532609,0.19912631717868,0.52988450398245,0.251446378702056,0.289172895282994,-0.767452267759227,3.82420467400256
"117",10,117,2,5,9,3.01,14,4,345.5065565,11.33333333,47.7678756208609,67.275610513245,37.469707160596,0.17996600846806,0.554585207614474,0.231334378194048,0.265488379509838,-0.81362202709571,3.64242324098738
"118",9,118,2,6,9,3.27,34.5,8,469.2043304,13.73333333,46.9841602233677,65.5576943728522,36.1099656357388,0.172391340213982,0.549599783579277,0.228968611406417,0.252678965390914,-0.772092396958064,3.67173856084272
"119",8,119,2,7,9,6.29,36,6,435.8083304,7.4,51.9694010416667,66.2157820159314,37.9154794730392,0.129407390078332,0.569190294970553,0.197929427472719,0.189144241121999,-0.720377261199452,3.54810790693951
"120",7,120,2,8,9,3.45,17.5,5,438.3019826,12.73333333,43.0394222861842,61.3905607524671,34.2906429893092,0.184470525598638,0.556603242393481,0.232849425967638,0.273804770738225,-0.83671935573067,3.62131615611651
